dni;nombre;fechaNacimiento;telefono;email;ciudad;provincia;direccion;codigoPostal
16870662R;MONICA AYALA CUADRADO;17/6/99;704147427;monica_99@earthling.net;Bédar;Almería;Pasaje Santa Ana 59;04391
04908778A;AURELIO DORADO EXPOSITO;11/6/43;792448019;aurelio_43@hotmail.co.uk;Cumbres Mayores;Huelva;Pasaje Clara Campoamor 7;21151
75521575V;LUCIANO SAIZ PARRA;28/7/88;763048838;luciano_88@post.com;Estrella, La;Toledo;Camino María Zambrano 2;45973
35137766E;ESTRELLA CARBONELL MARTOS;11/7/05;696089395;estrella_05@msn.co.uk;Sant Joan de les Abadesses;Girona;Vía Catalunya 73;17698
84565567H;PEDRO MANUEL AMADOR GORDILLO;21/9/44;743610780;pedromanuel_44@aim.com;Alba de Cerrato;Palencia;Travesía Horno 90;34393
99585649L;JESUS BORREGO OCHOA;4/10/70;620311075;jesus_70@aim.com;Bakio;Bizkaia;Vía Vicente Aleixandre 74;48338
98097536Y;JOEL FLORES FRIAS;1/5/39;781709633;joel_39@lycos.at;Villayón;Asturias;Travesía Pablo Picasso 88;33646
72015534G;JOSE JAVIER ROS BERMUDEZ;22/7/38;659233661;josejavier_38@witty.com;Cieza;Cantabria;Camino San Miguel 97;39507
78853090M;MARIA FRANCISCA CRESPO PALOMO;24/5/91;601036266;mariafrancisca_91@hotmail.co.uk;Valtablado del Río;Guadalajara;Corredera San Isidro 79;19556
33030262P;ROSA MARIA SALINAS ANTON;28/2/98;607496592;rosamaria_98@usa.com;Hoyos;Cáceres;Pasaje Fuente 65;10864
72003674N;OLIVIA ROBLES MARIN;11/11/40;728397149;olivia_40@caramail.com;Rajadell;Barcelona;Ronda Rafael Murillo 15;08564
51275387S;ASCENSION VELAZQUEZ GALLEGO;18/7/90;660365809;ascension_90@lycos.nl;Pegalajar;Jaén;Gran vía Miguel Hernández 84;23834
61489846J;LUIS ANGEL CASAS NIETO;13/12/43;772900453;luisangel_43@blu.it;Ugao-Miraballes;Bizkaia;Carrera Mayor 5;48033
94893778X;ILDEFONSO LUQUE ROMERA;11/10/73;699627944;ildefonso_73@lycos.de;Gascueña;Cuenca;Paseo Santa Ana 74;16375
79562704T;LORENZO LATORRE REINA;4/11/52;657152572;lorenzo_52@unforgettable.com;Torrent;Girona;Pasaje Antonio Machado 70;17683
72886549D;MARIA PAZ BOSCH MEDINA;31/04/1981;771777121;mariapaz_81@scientist.com;Álora;Málaga;Avenida San Antonio 65;29574
88121538M;ALEX RUEDA DEL VALLE;14/12/46;724175500;alex_46@usa.com;Salares;Málaga;Gran vía Vicente Aleixandre 34;29765
62238878G;GUSTAVO PASCUAL BONILLA;20/9/76;640161781;gustavo_76@netscape.net;Viñas;Zamora;Callejón San Roque 57;49504
51733770P;ERNESTO ZAMBRANO SAINZ;15/11/71;630879162;ernesto_71@lycos.it;Sunbilla;Navarra;Pasaje San Miguel 24;31764
92513206F;MUSTAPHA MARTIN SERRA;23/8/74;726396377;mustapha_74@techie.com;Luque;Córdoba;Pasaje Manuel de Falla 97;14523
38211592J;TOMASA RUEDA BRAVO;23/9/02;752732546;tomasa_02@usa.com;Santa Cristina d'Aro;Girona;Travesía Pablo Picasso 72;17881
07839956S;MIGUEL VELASCO BELTRAN;16/3/79;702638527;miguel_79@yahoo.es;Melilla;Melilla;Travesía Madrid 74;52539
09896744M;ADRIA NOGUERA PLA;25/6/66;752470479;adria_66@aol.com;Fuliola, La;Lleida;Callejón Mayor 83;25259
66022471M;ADRIANA PAZOS GALAN;5/11/74;719987834;adriana_74@teacher.com;Pego;Alicante/Alacant;Carrera Horno 44;03346
38999570B;CONSTANTINO AREVALO CORRAL;3/11/66;692293759;constantino_66@earthling.net;Huerta;Salamanca;Callejón Pablo Picasso 32;37845
